Record_ID,Car_Model,Model_Year,Mileage_KM,Fault_Category,Fault_Type,Severity,Parts_Required,Parts_Availability,Garage_Type,Mechanic_Expertise,Location,Day_of_Week,Time_of_Day,Actual_Repair_Hours
185,Suzuki Alto,2016,362755,AC,Condenser Leak,Moderate,Condenser,In Stock,Local,18,Meddawatta,Saturday,Morning,2.3
186,Suzuki Alto,2012,155268,Engine,Thermostat Stuck,Moderate,Thermostat Valve,In Stock,Local,12,Matara,Saturday,Morning,4.3
187,Suzuki Alto,2014,122818,Engine,Hard Starting,Moderate,Starter Motor/Battery,In Stock,Local,2,Mulatiyana,Tuesday,Morning,1.5
188,Suzuki Alto,2011,129433,Brake,ABS Sensor Fault,Moderate,ABS Sensor,In Stock,Local,8,Pasgoda,Tuesday,Afternoon,1.4
189,Suzuki Alto,2012,124535,Electrical,Power Window Stuck,Minor,Window Motor/Regulator,In Stock,Authorized,8,Kirinda Puhulwella,Monday,Morning,0.9
190,Suzuki Alto,2014,386608,Brake,Brake Fluid Leak,Minor,Brake Cylinder/Line,Order Required,Authorized,16,Thalalla,Sunday,Morning,1.3
191,Suzuki Alto,2020,121790,Brake,ABS Sensor Fault,Minor,ABS Sensor,In Stock,Authorized,18,Walgama,Thursday,Afternoon,0.5
192,Suzuki Alto,2013,478046,Engine,Radiator Cap Fault,Minor,Radiator Cap,In Stock,Local,13,Hakmana,Wednesday,Morning,0.5
193,Suzuki Alto,2013,104029,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Local,7,Kirulapone,Wednesday,Morning,0.0
194,Suzuki Alto,2022,8765,Suspension,Bushings Worn,Moderate,Suspension Bush Kit,In Stock,Authorized,12,Malimbada,Tuesday,Morning,3.0
195,Suzuki Alto,2012,132795,Brake,Brake Pad Wear,Moderate,Brake Pads,In Stock,Local,5,Kolonnawa,Tuesday,Evening,1.3
196,Suzuki Alto,2021,14093,Electrical,Starter Motor Fault,Moderate,Starter Motor,In Stock,Authorized,8,Walgama,Saturday,Morning,2.8
197,Suzuki Alto,2012,218504,Engine,Misfiring,Minor,Spark Plugs/Coils,In Stock,Local,13,Seethawaka,Friday,Morning,0.9
198,Suzuki Alto,2012,415889,Brake,Brake Fluid Leak,Major,Brake Cylinder/Line,Order Required,Local,15,Thalalla,Tuesday,Afternoon,5.7
199,Suzuki Alto,2011,354161,AC,No Cooling,Minor,Refrigerant Gas,In Stock,Local,20,Thihagoda,Sunday,Afternoon,1.1
200,Suzuki Alto,2016,41360,Electrical,Power Window Stuck,Moderate,Window Motor/Regulator,In Stock,Authorized,19,Akuressa,Tuesday,Evening,1.3
201,Suzuki Alto,2011,58761,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Local,25,Padukka,Sunday,Afternoon,0.5
202,Suzuki Alto,2011,133455,Engine,Coolant Leak,Major,Radiator Hose/Pipe,In Stock,Local,11,Pallimulla,Saturday,Afternoon,3.7
203,Suzuki Alto,2018,62961,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Local,25,Bambalapitiya,Thursday,Afternoon,0.5
204,Suzuki Alto,2022,20349,Engine,Oil Leak (Gasket),Moderate,Valve Cover Gasket,In Stock,Authorized,6,Matara,Sunday,Morning,3.4
205,Suzuki Alto,2022,34332,Engine,Thermostat Stuck,Minor,Thermostat Valve,In Stock,Authorized,13,Paburana,Wednesday,Afternoon,2.1
206,Suzuki Alto,2014,149573,Transmission,Transmission Oil Leak,Moderate,Oil Seal,In Stock,Local,24,Kotapola,Wednesday,Evening,1.8
207,Suzuki Alto,2011,251059,Electrical,Alternator Failure,Major,Alternator,Order Required,Local,11,Akuressa,Friday,Evening,7.3
208,Suzuki Alto,2015,257313,Electrical,Starter Motor Fault,Moderate,Starter Motor,In Stock,Local,19,Dehiwala,Friday,Afternoon,2.3
209,Suzuki Alto,2016,314543,Brake,ABS Sensor Fault,Minor,ABS Sensor,In Stock,Local,14,Weligama,Sunday,Afternoon,0.7
210,Suzuki Alto,2018,178395,Transmission,Clutch Slipping,Major,Clutch Plate Set,In Stock,Local,19,Pitabeddara,Sunday,Evening,13.5
211,Suzuki Alto,2018,21551,Engine,Timing Belt Noise,Major,Timing Belt Kit,Order Required,Authorized,6,Weligama,Friday,Morning,12.1
212,Suzuki Alto,2015,133022,Engine,Hard Starting,Minor,Starter Motor/Battery,In Stock,Authorized,15,Nupe,Tuesday,Evening,0.5
213,Suzuki Alto,2019,53089,Brake,Brake Pad Wear,Minor,Brake Pads,In Stock,Authorized,9,Kirinda Puhulwella,Tuesday,Morning,0.7
214,Suzuki Alto,2018,50489,Engine,Throttle Body Issue,Moderate,Throttle Body Cleaner,In Stock,Authorized,14,Nupe,Monday,Afternoon,1.1
215,Suzuki Alto,2017,87496,Engine,Radiator Cap Fault,Moderate,Radiator Cap,In Stock,Authorized,15,Pasgoda,Wednesday,Evening,0.6
216,Suzuki Alto,2017,122694,Engine,Throttle Body Issue,Minor,Throttle Body Cleaner,In Stock,Local,25,Akuressa,Wednesday,Afternoon,0.5
217,Suzuki Alto,2015,26914,Engine,Radiator Fan Failure,Moderate,Fan Motor,In Stock,Authorized,8,Nawimana,Thursday,Evening,4.6
218,Suzuki Alto,2022,40562,Electrical,Battery Drain,Minor,Battery,In Stock,Authorized,6,Pasgoda,Saturday,Afternoon,0.5
219,Suzuki Alto,2013,109385,AC,Compressor Noise,Major,Compressor,In Stock,Local,6,Kaduwela,Friday,Afternoon,11.1
220,Suzuki Alto,2015,108085,Electrical,Headlight Issue,Minor,Bulb/Fuse,In Stock,Local,9,Meddawatta,Wednesday,Afternoon,0.5
221,Suzuki Alto,2018,92578,Brake,Brake Shoe Wear,Minor,Brake Shoes,In Stock,Local,14,Maradana,Wednesday,Morning,0.8
222,Suzuki Alto,2017,103739,Engine,Water Pump Failure,Major,Water Pump,In Stock,Local,22,Kaduwela,Thursday,Morning,10.1
223,Suzuki Alto,2018,96790,Body,Rust Patch,Minor,Tinkering/Painting,In Stock,Local,22,Paburana,Thursday,Morning,2.5
224,Suzuki Alto,2016,68986,Transmission,Gear Shifting Hard,Major,Gear Cable/Oil,In Stock,Local,3,Weligama,Wednesday,Morning,12.5
225,Suzuki Alto,2017,70626,Brake,Disc Rotor Warped,Major,Disc Skimming,In Stock,Local,18,Thalalla,Tuesday,Evening,3.6
226,Suzuki Alto,2017,87030,Transmission,CVT Jerking (AGS),Moderate,AGS Actuator/Oil,In Stock,Authorized,10,Dondra,Sunday,Afternoon,5.3
227,Suzuki Alto,2018,89880,Body,Paint Scratch,Minor,Touch-up Paint,In Stock,Local,23,Gandara,Sunday,Afternoon,0.9
228,Suzuki Alto,2013,135933,Brake,Brake Pad Wear,Minor,Brake Pads,In Stock,Local,7,Weligama,Monday,Evening,0.6
229,Suzuki Alto,2017,265154,AC,Condenser Leak,Moderate,Condenser,In Stock,Local,20,Hakmana,Friday,Afternoon,2.4
230,Suzuki Alto,2011,221208,Brake,Brake Fluid Leak,Moderate,Brake Cylinder/Line,In Stock,Local,21,Kaduwela,Friday,Morning,1.5
231,Suzuki Alto,2016,102966,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Local,22,Dikwella,Thursday,Morning,0.5
232,Suzuki Alto,2022,83980,AC,Blower Fan Issue,Minor,Blower Motor,In Stock,Authorized,13,Kaduwela,Wednesday,Afternoon,0.6
233,Suzuki Alto,2020,60449,Transmission,Gear Shifting Hard,Major,Gear Cable/Oil,In Stock,Local,21,Thihagoda,Sunday,Evening,7.5
234,Suzuki Alto,2016,31773,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Local,23,Bambalapitiya,Tuesday,Morning,0.5
235,Suzuki Alto,2021,47150,Brake,ABS Sensor Fault,Minor,ABS Sensor,Order Required,Authorized,19,Hakmana,Friday,Evening,0.5
236,Suzuki Alto,2013,428472,Transmission,Clutch Slipping,Major,Clutch Plate Set,Order Required,Local,10,Kotapola,Tuesday,Evening,13.2
237,Suzuki Alto,2020,116164,Engine,Radiator Fan Failure,Moderate,Fan Motor,In Stock,Local,5,Hiththetiya,Sunday,Afternoon,3.8
238,Suzuki Alto,2015,227986,Brake,Brake Pad Wear,Minor,Brake Pads,In Stock,Local,4,Dondra,Thursday,Afternoon,0.8
239,Suzuki Alto,2021,8159,Suspension,Steering Rack Rattle,Moderate,Steering Rack Bush,Order Required,Authorized,20,Akuressa,Saturday,Morning,3.1
240,Suzuki Alto,2019,43323,Suspension,CV Joint Noise,Major,CV Joint/Boot,In Stock,Local,14,Dehiwala,Monday,Morning,7.2
241,Suzuki Alto,2015,210326,AC,Blower Fan Issue,Minor,Blower Motor,In Stock,Authorized,17,Pasgoda,Tuesday,Evening,0.5
242,Suzuki Alto,2021,31645,Electrical,Power Window Stuck,Minor,Window Motor/Regulator,In Stock,Local,4,Matara,Sunday,Morning,1.2
243,Suzuki Alto,2012,42245,Engine,Water Pump Failure,Major,Water Pump,In Stock,Local,16,Nawimana,Friday,Morning,12.6
244,Suzuki Alto,2011,164912,Transmission,Clutch Slipping,Moderate,Clutch Plate Set,In Stock,Local,10,Matara,Sunday,Afternoon,5.6
245,Suzuki Alto,2022,30135,Electrical,Headlight Issue,Minor,Bulb/Fuse,Order Required,Authorized,12,Thihagoda,Friday,Morning,0.5
246,Suzuki Alto,2017,143687,Suspension,Bushings Worn,Major,Suspension Bush Kit,In Stock,Authorized,7,Grandpass,Thursday,Evening,12.1
247,Suzuki Alto,2012,155105,Engine,Blown Head Gasket,Moderate,Head Gasket Set,In Stock,Local,6,Kolonnawa,Monday,Evening,23.8
248,Suzuki Alto,2011,181623,Body,Door Rattle,Moderate,Door Panel Clips,In Stock,Local,19,Paburana,Wednesday,Evening,0.8
249,Suzuki Alto,2019,57592,Brake,Brake Shoe Wear,Minor,Brake Shoes,In Stock,Local,11,Kirinda Puhulwella,Sunday,Evening,0.8
250,Suzuki Alto,2019,156221,AC,No Cooling,Moderate,Refrigerant Gas,In Stock,Local,13,Weligama,Saturday,Afternoon,2.6
251,Suzuki Alto,2015,108562,Engine,Engine Knocking,Moderate,Engine Overhaul Kit,In Stock,Local,22,Dikwella,Friday,Afternoon,11.1
252,Suzuki Alto,2017,132250,AC,No Cooling,Major,Refrigerant Gas,In Stock,Local,8,Mulatiyana,Sunday,Evening,6.6
253,Suzuki Alto,2014,125719,AC,No Cooling,Moderate,Refrigerant Gas,In Stock,Local,24,Pallimulla,Monday,Morning,1.6
254,Suzuki Alto,2013,47804,Brake,Brake Shoe Wear,Minor,Brake Shoes,In Stock,Local,12,Athuraliya,Wednesday,Morning,0.8
255,Suzuki Alto,2013,126893,Engine,Water Pump Failure,Major,Water Pump,Order Required,Local,25,Pasgoda,Saturday,Morning,8.2
256,Suzuki Alto,2015,299919,Engine,Fuel Injector Clog,Minor,Injector Cleaning,In Stock,Authorized,12,Pasgoda,Monday,Evening,1.4
257,Suzuki Alto,2012,141354,Electrical,Starter Motor Fault,Moderate,Starter Motor,In Stock,Local,18,Walgama,Wednesday,Morning,2.4
258,Suzuki Alto,2019,77637,Engine,Fuel Injector Clog,Moderate,Injector Cleaning,In Stock,Local,6,Pitabeddara,Friday,Evening,2.6
259,Suzuki Alto,2018,19208,Engine,Radiator Cap Fault,Minor,Radiator Cap,In Stock,Local,22,Mulatiyana,Saturday,Afternoon,0.5
260,Suzuki Alto,2016,92864,AC,Bad Smell,Minor,Evaporator Cleaning,In Stock,Local,22,Kamburupitiya,Wednesday,Afternoon,0.5
261,Suzuki Alto,2012,162064,Suspension,Shock Absorber Leaking,Moderate,Shock Absorbers,In Stock,Local,23,Borella,Thursday,Morning,1.8
262,Suzuki Alto,2014,125071,Suspension,Rim Bend,Minor,Rim Repair,In Stock,Authorized,16,Kirinda Puhulwella,Thursday,Morning,0.5
263,Suzuki Alto,2022,10051,Engine,Oil Leak (Gasket),Minor,Valve Cover Gasket,In Stock,Authorized,5,Kolonnawa,Sunday,Evening,1.7
264,Suzuki Alto,2011,522430,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Local,21,Welipitiya,Monday,Evening,1.2
265,Suzuki Alto,2013,189007,Brake,ABS Sensor Fault,Minor,ABS Sensor,In Stock,Local,3,Kollupitiya,Wednesday,Afternoon,0.9
266,Suzuki Alto,2016,101940,Suspension,Rim Bend,Moderate,Rim Repair,Order Required,Local,18,Seethawaka,Wednesday,Evening,1.0
267,Suzuki Alto,2021,48481,Electrical,Battery Drain,Moderate,Battery,In Stock,Local,6,Akuressa,Friday,Morning,0.8
268,Suzuki Alto,2019,77286,Engine,Misfiring,Major,Spark Plugs/Coils,Order Required,Authorized,18,Devinuwara,Saturday,Evening,3.0
269,Suzuki Alto,2018,96280,Engine,Blown Head Gasket,Major,Head Gasket Set,In Stock,Local,16,Padukka,Saturday,Evening,44.0
270,Suzuki Alto,2022,31354,Engine,Radiator Cap Fault,Minor,Radiator Cap,In Stock,Authorized,20,Kesbewa,Monday,Evening,0.5
271,Suzuki Alto,2020,77481,Engine,Radiator Fan Failure,Moderate,Fan Motor,Order Required,Authorized,7,Borella,Sunday,Morning,3.5
272,Suzuki Alto,2015,96130,Suspension,Shock Absorber Leaking,Moderate,Shock Absorbers,In Stock,Local,22,Pasgoda,Wednesday,Morning,1.5
273,Suzuki Alto,2017,109674,Electrical,Power Window Stuck,Minor,Window Motor/Regulator,In Stock,Local,10,Dehiwala,Monday,Morning,1.2
274,Suzuki Alto,2014,201494,AC,No Cooling,Moderate,Refrigerant Gas,In Stock,Local,12,Meddawatta,Thursday,Morning,2.7
275,Suzuki Alto,2015,132374,Brake,Disc Rotor Warped,Major,Disc Skimming,In Stock,Local,1,Walgama,Wednesday,Morning,6.6
276,Suzuki Alto,2018,81271,Suspension,Bushings Worn,Major,Suspension Bush Kit,In Stock,Authorized,9,Meddawatta,Wednesday,Evening,9.3
277,Suzuki Alto,2016,104937,Electrical,Check Engine Light,Moderate,Sensor (O2/MAP),In Stock,Local,20,Kolonnawa,Saturday,Evening,0.9
278,Suzuki Alto,2022,14416,Electrical,Alternator Failure,Moderate,Alternator,In Stock,Authorized,16,Seethawaka,Saturday,Afternoon,2.3
279,Suzuki Alto,2018,90172,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Local,21,Slave Island,Friday,Afternoon,0.5
280,Suzuki Alto,2015,35713,Engine,Radiator Fan Failure,Moderate,Fan Motor,In Stock,Authorized,5,Pasgoda,Monday,Evening,3.8
281,Suzuki Alto,2022,24300,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Local,22,Dondra,Friday,Morning,1.3
282,Suzuki Alto,2013,284435,Brake,Brake Pad Wear,Moderate,Brake Pads,In Stock,Local,5,Modara,Monday,Evening,1.7
283,Suzuki Alto,2012,44870,AC,Compressor Noise,Major,Compressor,Order Required,Local,3,Mulatiyana,Wednesday,Morning,10.8
284,Suzuki Alto,2014,175774,Brake,Brake Pad Wear,Moderate,Brake Pads,In Stock,Local,24,Thihagoda,Friday,Morning,0.8
285,Suzuki Alto,2017,71994,AC,No Cooling,Moderate,Refrigerant Gas,In Stock,Authorized,9,Paburana,Monday,Evening,2.5
286,Suzuki Alto,2021,57163,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Authorized,12,Kesbewa,Sunday,Morning,2.0
287,Suzuki Alto,2012,49514,Engine,Timing Belt Noise,Moderate,Timing Belt Kit,Order Required,Authorized,7,Nawimana,Sunday,Afternoon,5.0
288,Suzuki Alto,2013,151387,Brake,Brake Fluid Leak,Moderate,Brake Cylinder/Line,In Stock,Local,17,Dehiwala,Monday,Morning,2.0
289,Suzuki Alto,2020,22257,Electrical,Power Window Stuck,Moderate,Window Motor/Regulator,In Stock,Authorized,17,Dondra,Tuesday,Afternoon,1.8
290,Suzuki Alto,2022,9862,Electrical,Battery Drain,Moderate,Battery,In Stock,Authorized,13,Athuraliya,Thursday,Evening,0.6
291,Suzuki Alto,2014,35091,Engine,Fuel Injector Clog,Moderate,Injector Cleaning,In Stock,Local,11,Dehiwala,Saturday,Afternoon,3.0
292,Suzuki Alto,2017,231188,AC,Bad Smell,Minor,Evaporator Cleaning,In Stock,Local,21,Welipitiya,Sunday,Morning,0.5
293,Suzuki Alto,2011,185723,Engine,Radiator Cap Fault,Minor,Radiator Cap,In Stock,Local,1,Athuraliya,Thursday,Evening,0.5
294,Suzuki Alto,2013,182707,AC,Condenser Leak,Major,Condenser,In Stock,Authorized,7,Kamburupitiya,Friday,Evening,7.2
295,Suzuki Alto,2012,420425,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Authorized,10,Maradana,Tuesday,Afternoon,0.5
296,Suzuki Alto,2020,63821,Suspension,Wheel Bearing Noise,Moderate,Wheel Bearing,In Stock,Local,15,Dikwella,Friday,Morning,3.3
297,Suzuki Alto,2022,29110,Electrical,Rat Bite Damage,Minor,Wiring Harness Repair,In Stock,Authorized,15,Ratmalana,Tuesday,Morning,1.4
298,Suzuki Alto,2017,105014,Electrical,Check Engine Light,Moderate,Sensor (O2/MAP),In Stock,Local,17,Kamburupitiya,Monday,Evening,0.8
299,Suzuki Alto,2011,111361,Engine,Hard Starting,Minor,Starter Motor/Battery,In Stock,Local,4,Grandpass,Sunday,Evening,0.6
300,Suzuki Alto,2021,28792,AC,Condenser Leak,Minor,Condenser,In Stock,Authorized,14,Pallimulla,Tuesday,Evening,1.6
301,Suzuki Alto,2022,34412,AC,No Cooling,Major,Refrigerant Gas,In Stock,Authorized,19,Pitabeddara,Wednesday,Afternoon,5.7
302,Suzuki Alto,2018,64729,Engine,Hard Starting,Minor,Starter Motor/Battery,In Stock,Local,6,Pitabeddara,Monday,Afternoon,0.8
303,Suzuki Alto,2014,59677,Brake,Disc Rotor Warped,Major,Disc Skimming,In Stock,Local,12,Bambalapitiya,Tuesday,Morning,4.6
304,Suzuki Alto,2012,231208,AC,Compressor Noise,Major,Compressor,In Stock,Local,23,Weligama,Thursday,Afternoon,7.0
305,Suzuki Alto,2021,39677,Suspension,Shock Absorber Leaking,Moderate,Shock Absorbers,In Stock,Authorized,6,Nawimana,Sunday,Afternoon,3.1
306,Suzuki Alto,2011,97917,Suspension,CV Joint Noise,Moderate,CV Joint/Boot,In Stock,Local,11,Welipitiya,Wednesday,Afternoon,3.4
307,Suzuki Alto,2011,524814,Engine,Hard Starting,Minor,Starter Motor/Battery,Order Required,Local,18,Modara,Thursday,Evening,0.5
308,Suzuki Alto,2019,76029,Body,Windshield Crack,Moderate,Windshield Glass,In Stock,Authorized,20,Athuraliya,Sunday,Morning,3.3
309,Suzuki Alto,2013,193370,Suspension,CV Joint Noise,Moderate,CV Joint/Boot,In Stock,Local,12,Kamburupitiya,Sunday,Morning,0.0
310,Suzuki Alto,2016,240630,Body,Rust Patch,Minor,Tinkering/Painting,In Stock,Local,19,Akuressa,Sunday,Morning,2.1
311,Suzuki Alto,2015,423898,Electrical,Alternator Failure,Moderate,Alternator,In Stock,Local,2,Nawimana,Wednesday,Morning,3.9
312,Suzuki Alto,2015,330113,Suspension,Bushings Worn,Moderate,Suspension Bush Kit,In Stock,Local,12,Nawimana,Thursday,Afternoon,3.2
313,Suzuki Alto,2011,132856,Suspension,CV Joint Noise,Moderate,CV Joint/Boot,In Stock,Local,2,Devinuwara,Wednesday,Evening,4.4
314,Suzuki Alto,2017,104002,Electrical,Alternator Failure,Major,Alternator,In Stock,Local,17,Dikwella,Thursday,Evening,6.6
315,Suzuki Alto,2018,22905,Transmission,Transmission Oil Leak,Moderate,Oil Seal,In Stock,Authorized,10,Devinuwara,Wednesday,Afternoon,2.3
316,Suzuki Alto,2014,62019,Electrical,Check Engine Light,Minor,Sensor (O2/MAP),In Stock,Local,1,Kirulapone,Tuesday,Afternoon,0.7
317,Suzuki Alto,2019,82808,AC,No Cooling,Minor,Refrigerant Gas,In Stock,Local,2,Kotapola,Saturday,Morning,1.8
318,Suzuki Alto,2016,90743,Suspension,CV Joint Noise,Moderate,CV Joint/Boot,Order Required,Local,6,Devinuwara,Friday,Evening,3.1
319,Suzuki Alto,2017,46752,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Authorized,18,Grandpass,Monday,Afternoon,1.5
320,Suzuki Alto,2019,90531,Suspension,Wheel Bearing Noise,Moderate,Wheel Bearing,In Stock,Local,11,Slave Island,Wednesday,Morning,3.4
321,Suzuki Alto,2011,366792,Engine,Timing Belt Noise,Major,Timing Belt Kit,In Stock,Local,11,Thalalla,Saturday,Morning,12.8
322,Suzuki Alto,2017,96233,Transmission,Transmission Oil Leak,Moderate,Oil Seal,In Stock,Authorized,11,Meddawatta,Sunday,Evening,3.0
323,Suzuki Alto,2013,160327,Suspension,Rim Bend,Minor,Rim Repair,In Stock,Local,1,Malimbada,Sunday,Afternoon,0.9
324,Suzuki Alto,2022,8079,AC,Bad Smell,Minor,Evaporator Cleaning,In Stock,Authorized,6,Kamburupitiya,Thursday,Afternoon,0.8
325,Suzuki Alto,2018,162474,Brake,Disc Rotor Warped,Moderate,Disc Skimming,Order Required,Authorized,11,Maradana,Friday,Morning,1.7
326,Suzuki Alto,2020,44991,Brake,Brake Fluid Leak,Minor,Brake Cylinder/Line,Order Required,Local,23,Kaduwela,Saturday,Morning,0.9
327,Suzuki Alto,2015,132066,Engine,Timing Belt Noise,Moderate,Timing Belt Kit,In Stock,Local,17,Akuressa,Saturday,Morning,2.9
328,Suzuki Alto,2020,48318,Suspension,Rim Bend,Minor,Rim Repair,In Stock,Local,5,Kotapola,Friday,Afternoon,0.7
329,Suzuki Alto,2016,46165,Engine,Radiator Fan Failure,Moderate,Fan Motor,Order Required,Authorized,6,Seethawaka,Sunday,Afternoon,3.5
330,Suzuki Alto,2013,99367,Engine,Fuel Injector Clog,Moderate,Injector Cleaning,In Stock,Local,4,Thalalla,Tuesday,Morning,2.8
331,Suzuki Alto,2015,93463,Engine,Thermostat Stuck,Minor,Thermostat Valve,In Stock,Authorized,7,Kirinda Puhulwella,Saturday,Morning,2.5
332,Suzuki Alto,2011,160504,Brake,Brake Pad Wear,Minor,Brake Pads,In Stock,Authorized,11,Hakmana,Tuesday,Afternoon,0.6
333,Suzuki Alto,2019,102543,Engine,Radiator Cap Fault,Minor,Radiator Cap,In Stock,Local,5,Gandara,Monday,Evening,0.5
334,Suzuki Alto,2020,13788,Engine,Misfiring,Minor,Spark Plugs/Coils,In Stock,Authorized,14,Hiththetiya,Tuesday,Afternoon,0.9
335,Suzuki Alto,2017,105986,Electrical,Power Window Stuck,Minor,Window Motor/Regulator,In Stock,Authorized,20,Akuressa,Sunday,Evening,0.8
336,Suzuki Alto,2017,307365,Electrical,Headlight Issue,Moderate,Bulb/Fuse,In Stock,Authorized,7,Padukka,Friday,Afternoon,0.6
337,Suzuki Alto,2020,15965,Engine,Timing Belt Noise,Minor,Timing Belt Kit,In Stock,Local,18,Malimbada,Wednesday,Morning,1.7
338,Suzuki Alto,2015,160591,Brake,Brake Fluid Leak,Moderate,Brake Cylinder/Line,In Stock,Local,6,Malimbada,Thursday,Morning,2.6
339,Suzuki Alto,2016,97617,Suspension,CV Joint Noise,Moderate,CV Joint/Boot,In Stock,Local,4,Seethawaka,Thursday,Afternoon,3.7
340,Suzuki Alto,2015,108288,Engine,Coolant Leak,Minor,Radiator Hose/Pipe,In Stock,Local,6,Weligama,Tuesday,Evening,1.1
341,Suzuki Alto,2013,273410,Suspension,Rim Bend,Minor,Rim Repair,In Stock,Local,23,Matara,Thursday,Evening,0.5
342,Suzuki Alto,2013,38127,Electrical,Power Window Stuck,Minor,Window Motor/Regulator,Order Required,Local,13,Mulatiyana,Thursday,Afternoon,0.9
343,Suzuki Alto,2022,79186,Electrical,Power Window Stuck,Moderate,Window Motor/Regulator,In Stock,Authorized,18,Maradana,Friday,Evening,1.4
344,Suzuki Alto,2011,538571,Electrical,Check Engine Light,Major,Sensor (O2/MAP),In Stock,Local,24,Padukka,Tuesday,Afternoon,1.9
345,Suzuki Alto,2020,70979,Suspension,Rim Bend,Moderate,Rim Repair,In Stock,Authorized,10,Nawimana,Friday,Morning,1.5
346,Suzuki Alto,2016,100182,Brake,Brake Pad Wear,Moderate,Brake Pads,In Stock,Local,23,Walgama,Tuesday,Afternoon,0.0
347,Suzuki Alto,2015,141745,Brake,ABS Sensor Fault,Minor,ABS Sensor,In Stock,Local,5,Padukka,Wednesday,Afternoon,0.9
348,Suzuki Alto,2015,113355,Engine,Coolant Leak,Minor,Radiator Hose/Pipe,In Stock,Local,25,Dehiwala,Friday,Afternoon,0.5
349,Suzuki Alto,2013,145342,AC,Compressor Noise,Major,Compressor,Order Required,Local,19,Gandara,Thursday,Afternoon,8.6
350,Suzuki Alto,2020,24753,Brake,Brake Fluid Leak,Major,Brake Cylinder/Line,In Stock,Authorized,15,Bambalapitiya,Friday,Morning,4.5
351,Suzuki Alto,2021,9509,Engine,Timing Belt Noise,Moderate,Timing Belt Kit,In Stock,Authorized,9,Kamburupitiya,Friday,Evening,4.5
352,Suzuki Alto,2019,72702,AC,Blower Fan Issue,Moderate,Blower Motor,In Stock,Authorized,20,Slave Island,Tuesday,Afternoon,0.8
353,Suzuki Alto,2017,103301,Suspension,Shock Absorber Leaking,Moderate,Shock Absorbers,In Stock,Local,9,Nupe,Wednesday,Morning,2.1
354,Suzuki Alto,2018,61583,Electrical,Battery Drain,Minor,Battery,In Stock,Local,14,Pallimulla,Saturday,Morning,0.5
355,Suzuki Alto,2016,68494,AC,No Cooling,Major,Refrigerant Gas,In Stock,Local,12,Pasgoda,Wednesday,Afternoon,6.5
356,Suzuki Alto,2021,46619,Transmission,Transmission Oil Leak,Moderate,Oil Seal,In Stock,Authorized,14,Malimbada,Sunday,Afternoon,2.3
357,Suzuki Alto,2014,167901,Suspension,Wheel Bearing Noise,Moderate,Wheel Bearing,In Stock,Local,24,Paburana,Sunday,Morning,2.2
358,Suzuki Alto,2018,101272,Engine,Thermostat Stuck,Moderate,Thermostat Valve,In Stock,Local,7,Hiththetiya,Friday,Evening,3.7
359,Suzuki Alto,2013,407530,Engine,Thermostat Stuck,Moderate,Thermostat Valve,In Stock,Local,15,Maradana,Saturday,Afternoon,0.0
360,Suzuki Alto,2013,228600,Suspension,Shock Absorber Leaking,Moderate,Shock Absorbers,In Stock,Local,5,Maradana,Saturday,Afternoon,2.4
361,Suzuki Alto,2017,48494,Body,Paint Scratch,Minor,Touch-up Paint,In Stock,Authorized,13,Pallimulla,Tuesday,Evening,1.4
362,Suzuki Alto,2020,69520,Brake,Brake Fluid Leak,Minor,Brake Cylinder/Line,In Stock,Local,18,Kirulapone,Thursday,Morning,1.0
363,Suzuki Alto,2017,91104,Transmission,Clutch Slipping,Major,Clutch Plate Set,In Stock,Local,7,Grandpass,Friday,Afternoon,16.3
364,Suzuki Alto,2014,156592,Electrical,Alternator Failure,Major,Alternator,Order Required,Local,12,Nupe,Wednesday,Afternoon,6.4
365,Suzuki Alto,2019,73920,AC,Compressor Noise,Major,Compressor,In Stock,Authorized,14,Seethawaka,Thursday,Evening,9.3
366,Suzuki Alto,2013,96637,Engine,Throttle Body Issue,Minor,Throttle Body Cleaner,Order Required,Local,22,Athuraliya,Thursday,Evening,0.5
367,Suzuki Alto,2013,176958,Engine,Blown Head Gasket,Major,Head Gasket Set,In Stock,Authorized,14,Thihagoda,Monday,Afternoon,34.9
368,Suzuki Alto,2011,137756,Brake,Brake Fluid Leak,Major,Brake Cylinder/Line,In Stock,Local,24,Kotapola,Thursday,Evening,4.3
369,Suzuki Alto,2021,41262,Engine,Fuel Injector Clog,Moderate,Injector Cleaning,In Stock,Authorized,12,Dondra,Sunday,Evening,2.8
370,Suzuki Alto,2019,191733,Brake,ABS Sensor Fault,Moderate,ABS Sensor,In Stock,Local,5,Kesbewa,Friday,Morning,1.7
